City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,kushima,31.4583,131.2333,9.61,74,72,3.69,JP,1675881109
156,arraial do cabo,-22.9661,-42.0278,28.98,74,20,4.12,BR,1675880512
157,petropavlovsk-kamchatskiy,53.0452,158.6483,-18.46,85,40,2.0,RU,1675880760
158,faya,18.3851,42.4509,14.06,69,97,0.95,SA,1675880790
159,chanute,37.6792,-95.4572,5.06,87,100,2.57,US,1675881110
160,usinsk,65.9939,57.5281,-1.59,86,100,13.49,RU,1675880458
161,seduva,55.7667,23.7667,-0.76,84,100,4.58,LT,1675881111
162,geraldton,-28.7667,114.6,21.23,83,0,5.14,AU,1675880590
163,codrington,-38.2667,141.9667,11.94,87,58,2.71,AU,1675880398
164,comodoro rivadavia,-45.8667,-67.5,30.92,19,0,7.2,AR,1675880582
165,port elizabeth,-33.918,25.5701,21.29,79,0,1.79,ZA,1675880559
166,talara,-4.5772,-81.2719,33.42,43,0,7.72,PE,1675881111
167,olafsvik,64.8945,-23.7142,-3.28,62,100,12.13,IS,1675881112
168,drawsko pomorskie,53.5306,15.8097,-2.74,84,29,1.79,PL,1675881113
169,barra patuca,15.8,-84.2833,27.41,66,0,5.47,HN,1675881113
170,vorukh,39.8494,70.5838,1.16,64,100,4.02,TJ,1675881114
171,shepsi,44.0361,39.1489,-1.45,77,52,8.42,RU,1675881115
172,edgewater,28.9889,-80.9023,27.87,60,40,4.63,US,1675881116
173,palana,59.1167,159.9667,-25.61,96,98,6.51,RU,1675880532
174,manono,-7.3,27.4167,19.08,96,99,1.24,CD,1675881116
175,kenai,60.5544,-151.2583,-5.95,86,100,2.57,US,1675880797
176,pathein,16.7833,94.7333,21.54,67,0,4.29,MM,1675881117
177,longyearbyen,78.2186,15.6401,-4.09,86,75,6.69,SJ,1675881117
178,kortkeros,61.8106,51.5806,-1.0,87,97,3.77,RU,1675881118
179,rio gallegos,-51.6226,-69.2181,24.03,31,75,12.35,AR,1675880550
180,obihiro,42.9172,143.2044,-9.66,93,76,1.2,JP,1675881118
181,kiunga,-6.1219,141.2906,23.0,99,100,2.23,PG,1675881119
182,jacareacanga,-6.2222,-57.7528,30.68,63,21,1.36,BR,1675881119
183,christchurch,-43.5333,172.6333,12.73,85,88,1.54,NZ,1675880903
184,rawson,-43.3002,-65.1023,32.16,19,0,5.14,AR,1675880448
185,mar del plata,-38.0023,-57.5575,31.02,51,0,4.12,AR,1675880541
186,kaitangata,-46.2817,169.8464,8.9,74,52,5.9,NZ,1675880765
187,council bluffs,41.2619,-95.8608,11.38,44,0,5.14,US,1675881120
188,devonport,-41.1667,146.35,15.01,82,100,3.61,AU,1675881121
189,esperance,-33.8667,121.9,19.09,74,69,5.2,AU,1675880664
190,opuwo,-18.0607,13.84,24.2,35,100,5.35,NA,1675881121
191,adrar,20.5022,-10.0711,23.06,14,100,4.9,MR,1675880633
192,husavik,66.0449,-17.3389,-6.25,75,63,5.77,IS,1675880553
193,roswell,34.0232,-84.3616,21.44,62,100,3.09,US,1675880927
194,tombouctou,20.0,-3.0,23.93,16,28,4.94,ML,1675881122
195,mosquera,4.7059,-74.2302,22.05,40,40,5.14,CO,1675881123
196,san cristobal,7.7669,-72.225,26.1,37,78,3.45,VE,1675880378
197,aswan,24.0934,32.907,15.37,28,100,4.56,EG,1675881028
198,souillac,-20.5167,57.5167,26.21,83,40,2.06,MU,1675880526
199,tuktoyaktuk,69.4541,-133.0374,-36.0,75,20,2.06,CA,1675881124
200,bambous virieux,-20.3428,57.7575,26.23,83,40,2.06,MU,1675880670
201,emporia,38.4039,-96.1817,6.11,49,100,3.6,US,1675881125
202,berdigestyakh,62.0989,126.6992,-43.95,100,88,1.1,RU,1675881126
203,constitucion,-35.3333,-72.4167,22.17,54,4,3.98,CL,1675880586
204,hamilton,39.1834,-84.5333,11.91,54,0,2.06,US,1675880530
205,aripuana,-9.1667,-60.6333,32.41,47,72,1.22,BR,1675881129
206,morant bay,17.8815,-76.4093,30.95,63,1,5.16,JM,1675881131
207,damghan,36.1683,54.348,4.49,55,96,2.86,IR,1675881132
208,mahebourg,-20.4081,57.7,26.25,83,40,2.06,MU,1675881132
209,bathsheba,13.2167,-59.5167,29.34,65,40,9.26,BB,1675880587
210,marrakesh,31.6315,-8.0083,16.04,51,40,4.12,MA,1675881133
211,krasnoselkup,65.7,82.4667,-20.59,95,100,5.83,RU,1675880632
212,cayenne,4.9333,-52.3333,28.02,74,75,5.66,GF,1675880630
213,lamu,-2.2717,40.902,26.12,86,5,6.62,KE,1675881135
214,te anau,-45.4167,167.7167,7.24,79,93,0.6,NZ,1675881137
215,dingle,10.9995,122.6711,22.77,92,95,3.55,PH,1675880557
